mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	veh_per_driver	n_adults	has_mom	has_dad	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	distance	density
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	FALSE	FALSE	0.983099	2702.702702702703
8	10	10	10	810	810	810	250	1	1	FALSE	TRUE	FALSE	FALSE	11	TRUE	TRUE	FALSE	0.733704	1158.3011583011585
7	22	20	20	722	720	720	250	2	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	0.677389	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	TRUE	FALSE	1.6460069999999998	19.305019305019307
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.637962	1158.3011583011585
7	22	20	20	722	720	720	5	1	2	TRUE	TRUE	FALSE	FALSE	12	FALSE	TRUE	FALSE	1.580038	2702.702702702703
8	24	20	30	824	820	830	62.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	TRUE	FALSE	0.551887	2702.702702702703
7	22	20	20	722	720	720	12.5	1	1	TRUE	FALSE	FALSE	FALSE	12	TRUE	FALSE	FALSE	1.922755	6563.706563706564
8	24	20	30	824	820	830	62.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.913912	2702.702702702703
7	22	20	20	722	720	720	12.5	1	1	TRUE	FALSE	TRUE	FALSE	11	TRUE	FALSE	FALSE	1.201923	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	TRUE	FALSE	8	TRUE	FALSE	FALSE	0.40225	2702.702702702703
8	10	10	10	810	810	810	250	2	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	TRUE	FALSE	0.456956	2702.702702702703
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	TRUE	0.44730200000000003	2702.702702702703
7	23	20	20	723	720	720	5	1	1	FALSE	TRUE	FALSE	FALSE	11	TRUE	TRUE	FALSE	1.924364	2702.702702702703
7	22	20	20	722	720	720	5	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.169743	6563.706563706564
8	10	10	10	810	810	810	62.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.9589639999999999	1158.3011583011585
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	FALSE	FALSE	1.626699	1158.3011583011585
9	22	20	20	922	920	920	62.5	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	TRUE	FALSE	1.5269409999999999	2702.702702702703
7	22	20	20	722	720	720	62.5	2	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.6991040000000002	2702.702702702703
8	10	10	10	810	810	810	30	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.1166459999999998	6563.706563706564
8	24	20	30	824	820	830	5	0	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	FALSE	0.725659	2702.702702702703
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	TRUE	FALSE	10	FALSE	TRUE	FALSE	0.555105	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	11	FALSE	FALSE	FALSE	0.9010400000000001	2702.702702702703
8	10	10	10	810	810	810	62.5	1.5	2	TRUE	TRUE	FALSE	FALSE	10	TRUE	FALSE	FALSE	0.521316	6563.706563706564
8	22	20	20	822	820	820	5	0	1	TRUE	FALSE	TRUE	FALSE	10	TRUE	FALSE	FALSE	0.08527699999999999	2702.702702702703
7	24	20	30	724	720	730	250	1	1	FALSE	TRUE	FALSE	TRUE	10	TRUE	FALSE	FALSE	1.9790699999999999	2702.702702702703
7	24	20	30	724	720	730	20	1	1	FALSE	TRUE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.835869	1158.3011583011585
8	22	20	20	822	820	820	87.5	0	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.310537	11583.011583011583
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.992753	2702.702702702703
8	10	10	10	810	810	810	5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.0715940000000002	2702.702702702703
7	22	20	20	722	720	720	12.5	1	1	TRUE	FALSE	TRUE	FALSE	11	FALSE	FALSE	FALSE	1.7602460000000002	579.1505791505792
8	24	20	30	824	820	830	112.5	1	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	TRUE	FALSE	0.574413	115.83011583011583
8	22	20	20	822	820	820	5	1	1	TRUE	FALSE	TRUE	FALSE	11	FALSE	FALSE	FALSE	0.695088	6563.706563706564
9	10	10	10	910	910	910	42.5	1	1	TRUE	FALSE	FALSE	FALSE	11	FALSE	TRUE	FALSE	1.057113	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	11	FALSE	TRUE	FALSE	0.532579	1158.3011583011585
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	8	TRUE	TRUE	FALSE	1.0957290000000002	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	1.7425469999999998	579.1505791505792
8	24	20	30	824	820	830	87.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	1.650834	2702.702702702703
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	12	TRUE	FALSE	FALSE	0.823808	2702.702702702703
8	10	10	10	810	810	810	20	0	1	TRUE	FALSE	TRUE	FALSE	10	TRUE	FALSE	FALSE	0.976663	6563.706563706564
7	22	20	20	722	720	720	20	2	1	TRUE	FALSE	TRUE	FALSE	10	FALSE	FALSE	FALSE	1.007234	2702.702702702703
7	24	20	30	724	720	730	175	1	1	FALSE	TRUE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.9460919999999999	2702.702702702703
8	10	10	10	810	810	810	12.5	0	1	TRUE	FALSE	TRUE	FALSE	11	FALSE	FALSE	FALSE	0.067578	289.5752895752896
7	22	20	20	722	720	720	175	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	FALSE	FALSE	1.155262	2702.702702702703
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	8	TRUE	FALSE	FALSE	0.6757799999999999	1158.3011583011585
8	10	10	10	810	810	810	175	0	1	TRUE	FALSE	TRUE	FALSE	13	FALSE	TRUE	FALSE	0.590503	11583.011583011583
7	23	20	20	723	720	720	175	1	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.6170449999999998	11583.011583011583
7	24	20	30	724	720	730	42.5	1	1	TRUE	FALSE	TRUE	FALSE	11	TRUE	TRUE	FALSE	0.49879	579.1505791505792
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	0.902649	11583.011583011583
7	22	20	20	722	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	12	TRUE	FALSE	FALSE	0.6757799999999999	6563.706563706564
8	22	20	20	822	820	820	30	1	1	TRUE	FALSE	TRUE	FALSE	8	FALSE	FALSE	FALSE	0.27353	6563.706563706564
7	22	20	20	722	720	720	112.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.551076	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	TRUE	FALSE	1.185833	579.1505791505792
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.9871150000000002	1158.3011583011585
7	22	20	20	722	720	720	87.5	2	1	TRUE	FALSE	TRUE	FALSE	9	TRUE	TRUE	FALSE	1.189051	115.83011583011583
7	22	20	20	722	720	720	137.5	3	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	FALSE	1.27111	579.1505791505792
8	10	10	10	810	810	810	42.5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	0.513271	11583.011583011583
8	10	10	10	810	810	810	42.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.320191	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	TRUE	1.649225	2702.702702702703
8	10	10	10	810	810	810	42.5	1	1	FALSE	TRUE	FALSE	FALSE	12	FALSE	FALSE	FALSE	0.62751	6563.706563706564
8	30	30	30	830	830	830	112.5	2	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	TRUE	FALSE	0.870469	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	FALSE	FALSE	1.441664	2702.702702702703
