mode_ind,sc3_y2017,av_par_car,av_par_act,av_kid_car,av_kid_act,sc3_log_inc_k,sc3_veh_per_driver,sc3_non_work_dad,sc3_non_work_mom,sc3_age,sc3_female,sc3_has_lil_sib,sc3_has_big_sib,log_distance,sc3_log_density
28,0,1,1,1,1,0.32445435716167786,0.1,0,0,1.3,0.1,0.1,0.01,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.32445435716167786,0.1,0,0,1.1,0,0.1,0.01,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.32445435716167786,0.1,0,0,0.8,0.1,0,0.01,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.32445435716167786,0.1,0,0,0.8,0,0,0.01,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.4630837932736669,0.23333333333333334,0,0,1.2,0.1,0.1,0,-1.504077396876274,0.08853665428037451
28,0,1,1,1,1,0.4630837932736669,0.23333333333333334,0,0,1,0.1,0,0.01,-1.504077396876274,0.08853665428037451
17,0,1,1,1,1,0.44813061987657055,0.1,0,0,0.7,0,0,0.01,-2.197224577436219,0.08853665428037451
17,0,1,1,1,1,0.40918414320039825,0.2,0,0.1,1.1,0.1,0.1,0,0,0.08853665428037451
17,0,1,1,1,1,0.40918414320039825,0.2,0,0.1,0.9,0.1,0.1,0.01,0,0.08853665428037451
27,0,1,1,1,1,0.5072670685015709,0.15,0,0,1,0,0,0.01,0,0.07313220387090301
17,0,1,1,1,1,0.4630837932736669,0.1,0,0,1.2,0.1,0,0.01,0,0.09740968623038354
17,0,1,1,1,1,0.3991757973447,0.1,0,0,0.8,0.1,0,0.01,0,0.07313220387090301
17,0,1,1,1,1,0.3991757973447,0.1,0,0,1,0.1,0.1,0,0,0.07313220387090301
17,0,1,1,1,1,0.4343155860284888,0.1,0,0.1,0.8,0.1,0.1,0,0,0.06620073206530357
17,0,1,1,1,1,0.40918414320039825,0.1,0,0,1.3,0.1,0.1,0,0,0.08853665428037451
17,0,1,1,1,1,0.40918414320039825,0.1,0,0,1.2,0.1,0,0.01,0,0.08853665428037451
17,0,1,1,1,1,0.4630837932736669,0.15,0,0,0.8,0.1,0,0.01,0,0.08006367567650247
17,0,1,1,1,1,0.44813061987657055,0.15,0.1,0,1.4,0,0,0,0,0.08853665428037451
28,0,1,1,1,1,0.26567569067146596,0.1,0,0.1,1.3,0.1,0.1,0,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.26567569067146596,0.1,0,0.1,1.1,0.1,0.1,0.01,-1.504077396876274,0.05703782474656201
17,0,1,1,1,1,0.4630837932736669,0.1,0,0,0.9,0.1,0,0.01,-0.5877866648221189,0.08853665428037451
28,0,1,1,1,1,0.4630837932736669,0.1,0,0,0.9,0,0,0.01,0,0.05703782474656201
28,0,1,1,1,1,0.4630837932736669,0.1,0,0,1.1,0.1,0.1,0,0,0.05703782474656201
17,0,1,1,1,1,0.44813061987657055,0.1,0,0,1.1,0.1,0,0,-2.197224577436219,0.03912023005428146
28,0,1,1,1,1,0.1047318994280559,0.03333333333333333,0,0,1.3,0,0,0.01,-0.40546510805816444,0.10308952660644292
17,0,1,1,1,1,0.44146148242670324,0.05,0.1,0,1,0.1,0,0,0,0.07313220387090301
28,0,1,1,1,1,0.4343155860284888,0.1,0,0.1,1.3,0,0.1,0,-1.504077396876274,0.05703782474656201
28,0,1,1,1,1,0.4343155860284888,0.1,0,0.1,0.9,0.1,0.1,0.01,-0.8109302163163287,0.05703782474656201
28,0,1,1,1,1,0.44813061987657055,0.1,0,0,1.1,0.1,0.1,0,0,0.08006367567650247
17,0,1,1,1,1,0.344521426707893,0.2,0,0,1.4,0.1,0.1,0,-0.5877866648221189,0.03912023005428146
17,0,1,1,1,1,0.344521426707893,0.2,0,0,1.1,0,0,0.01,-0.5877866648221189,0.03912023005428146
28,0,1,1,1,1,0.3880532338336775,0.1,0.1,0,1.2,0,0.1,0,-0.5877866648221189,0.07313220387090301
17,0,1,1,1,1,0.344521426707893,0.1,0,0.1,0.7,0.1,0.1,0,0,0.08006367567650247
17,0,1,1,1,1,0.4182813210209709,0.2,0,0,1.3,0.1,0.1,0,0,0.06620073206530357
17,0,1,1,1,1,0.4182813210209709,0.2,0,0,1.1,0,0,0.01,0,0.06620073206530357
17,0,1,1,1,1,0.40918414320039825,0.1,0,0,1.2,0.1,0,0.01,0,0.09740968623038354
