"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_dp",0.23280314959579,NA,NA,NA,NA
"asc_do",-0.526632287530605,NA,NA,NA,NA
"asc_wa",0,NA,NA,NA,NA
"asc_wp",0.0697892861601786,NA,NA,NA,NA
"asc_wo",-0.0977138119341845,NA,NA,NA,NA
"asc_ba",-0.158022898698548,NA,NA,NA,NA
"asc_bp",-0.227784698181173,NA,NA,NA,NA
"asc_bo",-0.335905452828692,NA,NA,NA,NA
"beta_age_dp",0.23280314959581,NA,NA,NA,NA
"beta_age_do",-0.526632287530489,NA,NA,NA,NA
"beta_age_wa",0,NA,NA,NA,NA
"beta_age_wp",0.0697892861597048,NA,NA,NA,NA
"beta_age_wo",-0.0977138119341864,NA,NA,NA,NA
"beta_age_ba",-0.158022898698469,NA,NA,NA,NA
"beta_age_bp",-0.227784698181285,NA,NA,NA,NA
"beta_age_bo",-0.335905452828666,NA,NA,NA,NA
"beta_female_dp",0.232803149595876,NA,NA,NA,NA
"beta_female_do",-0.526632287530449,NA,NA,NA,NA
"beta_female_wa",0,NA,NA,NA,NA
"beta_female_wp",0.0697892861595855,NA,NA,NA,NA
"beta_female_wo",-0.0977138119341429,NA,NA,NA,NA
"beta_female_ba",-0.158022898698443,NA,NA,NA,NA
"beta_female_bp",-0.227784698181234,NA,NA,NA,NA
"beta_female_bo",-0.33590545282867,NA,NA,NA,NA
"beta_distance_dp",0.232803149595824,NA,NA,NA,NA
"beta_distance_do",-0.526632287530578,NA,NA,NA,NA
"beta_distance_wa",0,NA,NA,NA,NA
"beta_distance_wp",0.0697892861596036,NA,NA,NA,NA
"beta_distance_wo",-0.0977138119340472,NA,NA,NA,NA
"beta_distance_ba",-0.158022898698449,NA,NA,NA,NA
"beta_distance_bp",-0.227784698181184,NA,NA,NA,NA
"beta_distance_bo",-0.335905452828646,NA,NA,NA,NA
"beta_density_dp",0.232803149595754,NA,NA,NA,NA
"beta_density_do",-0.526632287530515,NA,NA,NA,NA
"beta_density_wa",0,NA,NA,NA,NA
"beta_density_wp",0.0697892861596454,NA,NA,NA,NA
"beta_density_wo",-0.097713811934019,NA,NA,NA,NA
"beta_density_ba",-0.15802289869848,NA,NA,NA,NA
"beta_density_bp",-0.227784698181221,NA,NA,NA,NA
"beta_density_bo",-0.335905452828691,NA,NA,NA,NA
"beta_school_dp",0.232803149595679,NA,NA,NA,NA
"beta_school_do",-0.526632287530458,NA,NA,NA,NA
"beta_school_wa",0,NA,NA,NA,NA
"beta_school_wp",0.0697892861597401,NA,NA,NA,NA
"beta_school_wo",-0.0977138119338685,NA,NA,NA,NA
"beta_school_ba",-0.158022898698438,NA,NA,NA,NA
"beta_school_bp",-0.227784698181219,NA,NA,NA,NA
"beta_school_bo",-0.33590545282871,NA,NA,NA,NA
"beta_income_dp",0.232803149595778,NA,NA,NA,NA
"beta_income_do",-0.526632287530534,NA,NA,NA,NA
"beta_income_wa",0,NA,NA,NA,NA
"beta_income_wp",0.0697892861599036,NA,NA,NA,NA
"beta_income_wo",-0.0977138119340158,NA,NA,NA,NA
"beta_income_ba",-0.158022898698529,NA,NA,NA,NA
"beta_income_bp",-0.227784698181265,NA,NA,NA,NA
"beta_income_bo",-0.335905452828599,NA,NA,NA,NA
