,Value,Rob. Std err,Rob. t-test,Rob. p-value
asc_bike,-4.393623279955769,1.2279135042076597,-3.578121150146368,0.00034607304120592985
asc_walk,-5.070804888814717,0.7574444742378234,-6.694622591203403,2.1622925672204474e-11
b_age_bike,0.143911667362391,0.06053371225480719,2.377380504215855,0.0174360914132472
b_age_walk,0.19387895356258847,0.03985216678359669,4.864953883571265,1.1448349768183874e-06
b_female_bike,-1.0360822297762422,0.21782342666497076,-4.756523417335715,1.969554014991104e-06
b_female_walk,-0.32691201399964886,0.12497285889287839,-2.6158640915773916,0.008900197575154145
b_has_big_sib_bike,-0.12385995505622684,0.22435727888599,-0.5520656859061295,0.5809033505516932
b_has_big_sib_walk,0.21530283214929513,0.13711424291190935,1.5702441086854773,0.11635833148006114
b_has_lil_sib_bike,-0.3905334918525409,0.224294385034089,-1.7411648169132112,0.08165469243944834
b_has_lil_sib_walk,0.15354390800614723,0.1383807814255921,1.1095753790688658,0.2671820456983025
b_log_density_bike,0.02687296846630082,0.08144709231808013,0.3299438654157503,0.7414423778793455
b_log_density_walk,0.3510589891008523,0.06488852683361628,5.410185840726808,6.295937948763708e-08
b_log_distance_bike,0.08633938409812451,0.21477836103710632,0.40199293672423564,0.6876892244985813
b_log_distance_walk,-1.9672470355278986,0.1791097958172871,-10.983469812755079,0.0
b_log_income_k_bike,0.4210507166960222,0.14416189676258656,2.9206796397069525,0.0034926877367527087
b_log_income_k_walk,-0.01394320791816814,0.073424967036321,-0.18989736708047655,0.8493895556958393
b_non_work_dad_bike,-0.5474011493816514,0.3735199202117517,-1.4655206315939588,0.1427789276394802
b_non_work_dad_walk,0.21227433452546635,0.19260110276031708,1.1021449591056167,0.2703986562555105
b_non_work_mom_bike,0.04569220537581437,0.2197284043218137,0.20794856048239296,0.8352691320614636
b_non_work_mom_walk,-0.055737024917662505,0.13548535932555128,-0.41138780747323905,0.6807881927862669
b_veh_per_driver_bike,-0.647448416005178,0.31061693051477984,-2.084395125958438,0.03712424082422472
b_veh_per_driver_walk,-0.46139827720712107,0.17303320946086406,-2.666530191774997,0.007663872233167224
