,Value,Rob. Std err,Rob. t-test,Rob. p-value
asc_MomDad_bike,-7.885399555940949,2.6346947977544026,-2.9929081587217676,0.0027633289154300744
asc_MomDad_car,-1.4556886778506648,2.0846646431414233,-0.6982843416277537,0.48499938970781775
asc_MomDad_walk,-2.6695889284450143,3.0058873035891986,-0.8881200986002951,0.3744761524752702
asc_alone_bike,-6.7002469235197095,1.6367641951332053,-4.093593288173329,4.247390737366352e-05
asc_alone_walk,-8.42789101671438,1.2061724143201762,-6.987302077758522,2.802202914153895e-12
asc_dad_bike,3.9323924366336356,5.363445437462201,0.7331840106299858,0.46344620614039833
asc_dad_car,-1.1512898092788137,0.84677777901838,-1.3596126844677439,0.17395252201529376
asc_dad_walk,-7.445782487516517,2.2807464951925387,-3.264625201972721,0.001096090086647683
asc_mom_bike,1.7853563032752355,3.593945357498999,0.4967677929632331,0.6193528095704401
asc_mom_walk,-3.5405558831832646,1.4462482479366792,-2.4480969212819956,0.014361301813160532
asc_non_hh_bike,-12.603832572246755,4.197299322406287,-3.0028434009850535,0.0026747002412690346
asc_non_hh_car,-1.9944971799275693,1.3295644753749007,-1.5001131700402688,0.13358509000279062
asc_non_hh_walk,-4.656139870343487,1.38921168150951,-3.3516417492862933,0.0008033390126933604
asc_sib_bike,-6.136051572244092,2.6449178823943633,-2.3199402949664782,0.02034410737651804
asc_sib_car,-22.627299395096646,5.4190378689117775,-4.17551970339719,2.9730651785131457e-05
asc_sib_walk,-9.681203290337356,1.5107990028320946,-6.40800217116194,1.4743872789324541e-10
b_age_MomDad_bike,-1.4788102886436627,0.29939729797894227,-4.939290697097984,7.840725184671271e-07
b_age_MomDad_car,0.005207477428517114,0.12111242698878374,0.042997052887061536,0.965703883138169
b_age_MomDad_walk,-0.2706011327395719,0.22646876680372593,-1.1948717545412975,0.23213714002866404
b_age_alone_bike,0.3904658874636066,0.0785476664211385,4.9710692278252795,6.65846671132897e-07
b_age_alone_walk,0.5968965770285507,0.06483889881120443,9.205840752579292,0.0
b_age_dad_bike,-0.813211967776002,0.3113604783742721,-2.611802152996686,0.009006635982467426
b_age_dad_car,0.05165130831486887,0.04778529324921509,1.0809038681732328,0.27973987780120524
b_age_dad_walk,-0.14324010463867054,0.11322289316079576,-1.2651160965763808,0.20582971351691715
b_age_mom_bike,-0.8548272010185756,0.24010825774250263,-3.560174102530497,0.00037060899872876085
b_age_mom_walk,-0.18168309379275085,0.07818721421609084,-2.3236931461788886,0.020141946068063854
b_age_non_hh_bike,0.6116952130914491,0.19628882018069882,3.1163018481049356,0.0018313471138149406
b_age_non_hh_car,0.11372826602124236,0.09478862304763246,1.1998092425511078,0.230213433795877
b_age_non_hh_walk,0.31198019070206506,0.07900187253166098,3.9490227345818307,7.847089949786223e-05
b_age_sib_bike,0.125937105000008,0.1558322771076755,0.8081580230839415,0.4189996190425034
b_age_sib_car,0.9066434852015243,0.30864985793956884,2.9374498703933885,0.003309236681360961
b_age_sib_walk,0.19633360952897738,0.08222379237104742,2.3877955986631214,0.016949765843889075
b_female_MomDad_bike,8.491372381702286,0.8695761868888616,9.764955054809414,0.0
b_female_MomDad_car,-0.6404380097029033,0.45845352976206716,-1.3969529475218225,0.162427720920435
b_female_MomDad_walk,-0.3830723492709733,0.6948286631179447,-0.5513191519071632,0.5814149119065795
b_female_alone_bike,-1.8391032830777894,0.34247282174797383,-5.37007075098995,7.870575791102397e-08
b_female_alone_walk,-0.5183684627985348,0.20022313628998178,-2.588953866189496,0.009626799074763381
b_female_dad_bike,-1.810299720145376,1.1159528726166859,-1.622200869379534,0.10476034561987624
b_female_dad_car,-0.2463549333130322,0.1460141856463563,-1.6871986254109541,0.09156516563916095
b_female_dad_walk,-0.1318967786676007,0.3192134240336319,-0.4131930825493862,0.6794651558463742
b_female_mom_bike,-0.7478384188796849,0.5330997659894278,-1.4028113808898497,0.16067309232602534
b_female_mom_walk,-0.3062138957413021,0.22027979702043196,-1.3901133916193837,0.16449444738814467
b_female_non_hh_bike,-0.7672330032965634,0.7437122572400303,-1.0316261374309201,0.30224729116063664
b_female_non_hh_car,-0.4738365150744819,0.2828231745170983,-1.6753807953804567,0.09385954217077619
b_female_non_hh_walk,-0.34220431651257605,0.25970762652262297,-1.3176521656084939,0.18762011425564373
b_female_sib_bike,0.09953123760257089,0.5635771641509306,0.17660622880723323,0.8598177011160286
